"Kod"	"Överordnad kod"	"Titel"	"Förkortning(ar)"	"Beskrivning"	"Exempel"	"Innefattar"	"Utesluter"	"Kodningsinformation"
"NEJ"	""	""	""	""	""	""	"Immobilisering med gipsförband eller splint enbart, se TN"	""
"NEJ09"	"NEJ"	"Sluten reposition av bäckenfraktur"	""	""	""	""	""	""
"NEJ19"	"NEJ"	"Öppen reposition av bäckenfraktur"	""	""	""	""	""	""
"NEJ29"	"NEJ"	"Extern fixation av bäckenfraktur"	""	""	""	""	""	""
"NEJ39"	"NEJ"	"Osteosyntes av bäckenfraktur med bioimplantat"	""	""	""	""	""	""
"NEJ49"	"NEJ"	"Osteosyntes av bäckenfraktur med cerklage, stift eller dylikt"	""	""	""	""	""	""
"NEJ69"	"NEJ"	"Osteosyntes av bäckenfraktur med platta och skruvar"	""	""	""	""	""	""
"NEJ79"	"NEJ"	"Osteosyntes av bäckenfraktur med skruvar enbart"	""	""	""	""	""	""
"NEJ89"	"NEJ"	"Osteosyntes av bäckenfraktur med annan eller kombinerad metod"	""	""	""	""	""	""
"NEJ99"	"NEJ"	"Annan operation vid fraktur i bäckenet"	""	""	""	""	""	""
"NEK"	"NE"	"Operationer på ben i bäckenet"	""	""	""	""	"Avlägsnande av främmande kropp, se NET09"	"Tilläggskod för bentransplantat, se NEN"
"NEK"	""	""	""	""	""	""	"Komplexa korrektioner vid deformitet, se NET"	""
"NEK"	""	""	""	""	""	""	"Operationer vid infektion, se NES"	""
"NEK09"	"NEK"	"Excision av benfragment av bäckenet"	""	""	""	"Sekvestrotomi"	""	""
"NEK19"	"NEK"	"Partiell eller total excision av bäckenben"	""	""	""	"Av exostos utanför led"	""	""
"NEK29"	"NEK"	"Fenestrering av bäckenben"	""	""	""	""	""	""
"NEK39"	"NEK"	"Curettage av cysta i bäckenben"	""	""	""	""	""	""
"NEK59"	"NEK"	"Vinklings-, rotations- eller förskjutningsosteotomi i bäckenet"	""	""	""	""	""	""
"NEK99"	"NEK"	"Annan operation på bäckenben"	""	""	""	""	""	""
"NEL"	"NE"	"Operationer på muskler och senor i bäckenet"	""	""	""	""	"Avlägsnande av främmande kropp, se NET09"	""
"NEL09"	"NEL"	"Friläggning av bäckenmuskel"	""	""	""	""	""	""
"NEL19"	"NEL"	"Sutur eller rekonstruktion av bäckenmuskel"	""	""	""	""	""	""
"NEL29"	"NEL"	"Transposition av bäckenmuskel"	""	""	""	""	""	""
"NEL39"	"NEL"	"Myotomi eller tenotomi i bäckenet"	""	""	""	""	""	""
"NEL49"	"NEL"	"Sutur eller reinsertion av sena i bäckenet"	""	""	""	""	""	""
"NEL79"	"NEL"	"Excision av muskel eller sena i bäckenet"	""	""	""	""	""	""
"NEL99"	"NEL"	"Annan operation på muskel eller sena i bäckenet"	""	""	""	""	""	""
"NEM"	"NE"	"Operationer på fascior och bursor i bäckenet"	""	""	""	""	"Avlägsnande av främmande kropp, se NET09"	""
"NEM99"	"NEM"	"Operation på fascia eller bursa i bäckenet"	""	""	""	""	""	""
"NEN"	"NE"	"Transplantationer till bäckenet"	""	""	""	""	""	"Tilläggskoder för specifikation av fritt transplantat av muskel, sena, fascia, periost, perikondrium eller brosk, fria mikrovaskulära transplantat och lambåer (inkl. ben-, muskel- och hudlambåer), se ZZ"
"NEN"	""	""	""	""	""	""	""	"Uttagning av vävnad för transplantation, se kapitel Y"
"NEN09"	"NEN"	"Autotransplantation av ben till bäckenet"	""	""	""	""	""	""
"NEN19"	"NEN"	"Homotransplantation av ben till bäckenet"	""	""	""	""	""	""
"NEN29"	"NEN"	"Heterotransplantation av ben till bäckenet"	""	""	""	""	""	""
"NEN49"	"NEN"	"Transplantation av brosk, periost eller fascia till bäckenet"	""	""	""	""	""	"Fritt transplantat, se ZZ"
"NEN99"	"NEN"	"Annan transplantation till bäckenet"	""	""	""	""	""	""
"NEP"	"NE"	"Replantationer och autotransplantationer i bäckenet"	""	""	""	""	""	""
"NEP29"	"NEP"	"Replantation av extremitet i bäckennivå"	""	""	""	""	""	""
"NEQ"	"NE"	"Amputationer och relaterade operationer på bäckenet"	""	""	""	""	""	""
"NEQ19"	"NEQ"	"Transpelvin amputation"	""	""	""	""	""	""
"NEQ29"	"NEQ"	"Revision av amputationsstump i bäckenet"	""	""	""	""	""	""
"NEQ99"	"NEQ"	"Annan amputation i bäckenet eller relaterad operation"	""	""	""	""	""	""
"NER"	"NE"	"Operationer för tumör i bäckenet"	""	""	""	""	""	""
"NER09"	"NER"	"Intralesionell excision av mjukdelstumör i bäckenet"	""	""	""	""	""	""
"NER19"	"NER"	"Marginell excision av mjukdelstumör i bäckenet"	""	""	""	""	""	""
"NER29"	"NER"	"Vid excision av mjukdelstumör i bäckenet"	""	""	""	""	""	""
"NER39"	"NER"	"Kompartmentell excision av mjukdelstumör i bäckenet"	""	""	""	""	""	""
"NER49"	"NER"	"Intralesionell excision av ben- eller brosktumör i bäckenet"	""	""	""	""	""	""
"NER59"	"NER"	"Marginell excision av ben- eller brosktumör i bäckenet"	""	""	""	""	""	""
"NER69"	"NER"	"Vid excision av ben- eller brosktumör i bäckenet"	""	""	""	""	""	""
"NER79"	"NER"	"Kompartmentell excision av ben- eller brosktumör i bäckenet"	""	""	""	""	""	""
"NER99"	"NER"	"Annan operation för tumör i bäckenet"	""	""	""	""	""	""
"NES"	"NE"	"Operationer vid infektion i bäckenet"	""	""	""	"Dränage"	"Incision, dränage av subkutan abscess, se QBA"	""
"NES"	""	""	""	""	""	""	"Sekvestrotomi, se NEK"	""
"NES19"	"NES"	"Incision och debridering vid septisk artrit i bäckenled"	""	""	""	""	""	""
"NES29"	"NES"	"Incision och debridering vid osteit i bäckenet"	""	""	""	""	""	""
"NES49"	"NES"	"Incision och debridering vid septisk artrit i bäckenled med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
"NES59"	"NES"	"Incision och debridering vid osteit i bäckenet med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
"NES99"	"NES"	"Annan operation vid infektion i bäckenet"	""	""	""	""	""	""
"NET"	"NE"	"Diverse operationer på bäckenet"	""	""	""	""	""	""
"NET09"	"NET"	"Avlägsnande av främmande kropp från vävnad i bäckenet"	""	""	""	""	""	""
"NET49"	"NET"	"Korrektion av deformitet i bäckenet med användande av extern eller intern fixation"	""	""	""	""	""	""
"NET99"	"NET"	"Annan operation på bäckenet"	""	""	""	""	""	""
"NEU"	"NE"	"Extraktion av implantat och externt fixationsmaterial från bäckenet"	""	""	""	""	""	""
"NEU39"	"NEU"	"Extraktion av externt fixationsmaterial från bäckenet"	""	""	""	""	""	""
"NEU49"	"NEU"	"Extraktion av internt fixationsmaterial från bäckenet"	""	""	""	""	""	""
"NEU89"	"NEU"	"Extraktion av implantat för infektionsbehandling från bäckenet"	""	""	""	""	""	""
"NEU99"	"NEU"	"Extraktion av annat implantat från bäckenet"	""	""	""	""	""	""
"NEW"	"NE"	"Reoperationer på bäckenet"	""	""	""	""	"Extraktion av implantat, se NEU"	""
"NEW"	""	""	""	""	""	""	"Revision av amputationsstump, se NEQ"	""
"NEW49"	"NEW"	"Sutur av sårruptur i bäckenet"	""	""	""	""	""	""
"NEW59"	"NEW"	"Reoperation för ytlig infektion i bäckenet"	""	""	""	"För sårinfektion"	""	""
"NEW69"	"NEW"	"Reoperation för djup infektion i bäckenet"	""	""	""	""	""	""
"NEW79"	"NEW"	"Reoperation för ytlig blödning i bäckenet"	""	""	""	"För sårblödning eller hematom"	""	""
"NEW89"	"NEW"	"Reoperation för djup blödning i bäckenet"	""	""	""	""	""	""
"NEW99"	"NEW"	"Annan reoperation på bäckenet"	""	""	""	""	""	""
"NF"	"N"	"Operationer på höftleder och lår"	""	""	""	""	""	""
"NFA"	"NF"	"Explorativa operationer på höfter och lår"	""	""	""	"Diagnostisk artroskopi eller endoskopi, biopsi"	"Biopsi av hud och subkutan vävnad, se kapitel Q"	""
"NFA"	""	""	""	""	""	""	"Operationer vid infektion, se NFS"	""
"NFA00"	"NFA"	"Exploration av mjukdelar i höft och lår - perkutan eller sluten"	""	""	""	""	""	""
"NFA01"	"NFA"	"Exploration av mjukdelar i höft och lår - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFA02"	"NFA"	"Exploration av mjukdelar i höft och lår - öppen"	""	""	""	""	""	""
"NFA10"	"NFA"	"Exploration av höftled - perkutan eller sluten"	""	""	""	"Diagnostisk artroskopi"	""	""
"NFA11"	"NFA"	"Exploration av höftled - artroskopisk eller endoskopisk"	""	""	""	"Diagnostisk artroskopi"	""	""
"NFA12"	"NFA"	"Exploration av höftled - öppen"	""	""	""	"Diagnostisk artroskopi"	""	""
"NFA20"	"NFA"	"Biopsi av mjukdelar i höft och lår - perkutan eller sluten"	""	""	""	""	""	""
"NFA21"	"NFA"	"Biopsi av mjukdelar i höft och lår - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFA22"	"NFA"	"Biopsi av mjukdelar i höft och lår - öppen"	""	""	""	""	""	""
"NFA30"	"NFA"	"Biopsi av femur - perkutan eller sluten"	""	""	""	""	""	""
"NFA31"	"NFA"	"Biopsi av femur - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFA32"	"NFA"	"Biopsi av femur - öppen"	""	""	""	""	""	""
"NFB"	"NF"	"Primära ledprotesoperationer i höftleder"	""	""	""	"Primär ledprotesoperation efter tidigare frakturbehandling eller annan ledoperation"	"Ledprotesoperation av femur (som ersätts i sin helhet) med proximala och distala ledytor, se NFR89"	"Tilläggskod för bentransplantat, se NFN"
"NFB09"	"NFB"	"Primär halv- eller delprotes i höftled utan cement"	""	""	""	""	""	""
"NFB19"	"NFB"	"Primär halv- eller delprotes i höftled med cement"	""	""	""	""	""	""
"NFB29"	"NFB"	"Primär total höftledsplastik utan cement"	""	""	""	""	""	""
"NFB39"	"NFB"	"Primär total höftledsplastik med hybridteknik"	""	""	""	""	""	""
"NFB49"	"NFB"	"Primär total höftledsplastik med cement"	""	""	""	""	""	""
"NFB62"	"NFB"	"Primär total höftledsplastik med ytersättningsprotes"	""	""	""	"Proteser för biologisk fixation"	""	""
"NFB99"	"NFB"	"Annan primär ledprotesoperation i höftled"	""	""	""	""	""	""
"NFC"	"NF"	"Sekundära ledprotesoperationer i höftleder"	""	""	""	"Sekundär eller senare implantation av hel- eller delprotes"	"Extraktion av protes, se NFU"	"Tilläggskod för bentransplantat, se NFN"
"NFC"	""	""	""	""	""	""	"Reposition av luxerad protes, se NFH"	""
"NFC09"	"NFC"	"Sekundär halv- eller delprotes i höftled utan cement"	""	""	""	""	"Komponent av totalprotes"	""
"NFC19"	"NFC"	"Sekundär halv- eller delprotes i höftled med cement"	""	""	""	""	"Komponent av totalprotes"	""
"NFC20"	"NFC"	"Sekundär totalprotes i höftled utan cement, alla delar reviderade"	""	""	""	""	""	""
"NFC21"	"NFC"	"Sekundär totalprotes i höftled utan cement, cuprevision"	""	""	""	""	""	""
"NFC22"	"NFC"	"Sekundär totalprotes i höftled utan cement, stamrevision"	""	""	""	""	""	""
"NFC23"	"NFC"	"Sekundär totalprotes i höftled utan cement, revision av annan del"	""	""	""	""	""	""
"NFC29"	"NFC"	"Sekundär totalprotes i höftled utan cement, annan eller ospecificerad"	""	""	""	"Komponent av totalprotes"	""	""
"NFC30"	"NFC"	"Sekundär totalprotes i höftled med hybridteknik, alla delar reviderade"	""	""	""	""	""	""
"NFC31"	"NFC"	"Sekundär totalprotes i höftled med hybridteknik, cuprevision"	""	""	""	""	""	""
"NFC32"	"NFC"	"Sekundär totalprotes i höftled med hybridteknik, stamrevision"	""	""	""	""	""	""
"NFC33"	"NFC"	"Sekundär totalprotes i höftled med hybridteknik, revision av annan del"	""	""	""	""	""	""
"NFC39"	"NFC"	"Sekundär totalprotes i höftled med hybridteknik, annan eller ospecificerad"	""	""	""	"Komponent av totalprotes"	""	""
"NFC40"	"NFC"	"Sekundär totalprotes i höftled med cement, alla delar reviderade"	""	""	""	""	""	""
"NFC41"	"NFC"	"Sekundär totalprotes i höftled med cement, cuprevision"	""	""	""	""	""	""
"NFC42"	"NFC"	"Sekundär totalprotes i höftled med cement, stamrevision"	""	""	""	""	""	""
"NFC43"	"NFC"	"Sekundär totalprotes i höftled med cement, revision av annan del"	""	""	""	""	""	""
"NFC49"	"NFC"	"Sekundär totalprotes i höftled med cement, annan eller ospecificerad"	""	""	""	""	""	""
"NFC59"	"NFC"	"Sekundär implantation av interpositionsprotes i höftled"	""	""	""	""	""	""
"NFC99"	"NFC"	"Annan sekundär ledprotesoperation i höftled"	""	""	""	""	""	""
"NFE"	"NF"	"Operationer på ledkapslar och ligament i höftleder"	""	""	""	""	"Avlägsnande av främmande kropp, se NFT09"	""
"NFE"	""	""	""	""	""	""	"Komplexa korrektioner vid deformitet, se NFT"	""
"NFE91"	"NFE"	"Operation på ledkapslar eller ligament i höftled, artroskopisk"	""	""	""	""	""	""
"NFE92"	"NFE"	"Operation på ledkapslar eller ligament i höftled, öppen"	""	""	""	""	""	""
"NFF"	"NF"	"Operationer på ledhinnor och ledytor i höftleder"	""	""	""	""	""	""
"NFF01"	"NFF"	"Total synovektomi i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFF02"	"NFF"	"Total synovektomi i höftled - öppen"	""	""	""	""	""	""
"NFF11"	"NFF"	"Partiell synovektomi i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFF12"	"NFF"	"Partiell synovektomi i höftled - öppen"	""	""	""	""	""	""
"NFF20"	"NFF"	"Fixation av ledytefragment i höftled - perkutan eller sluten"	""	""	""	"Fragment av brosk eller brosk och ben vid osteokondrit eller traumatisk skada"	""	""
"NFF21"	"NFF"	"Fixation av ledytefragment i höftled - artroskopisk eller endoskopisk"	""	""	""	"Fragment av brosk eller brosk och ben vid osteokondrit eller traumatisk skada"	""	""
"NFF22"	"NFF"	"Fixation av ledytefragment i höftled - öppen"	""	""	""	"Fragment av brosk eller brosk och ben vid osteokondrit eller traumatisk skada"	""	""
"NFF31"	"NFF"	"Partiell excision av ledbrosk i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFF32"	"NFF"	"Partiell excision av ledbrosk i höftled - öppen"	""	""	""	""	""	""
"NFF91"	"NFF"	"Annan operation på ledhinnor eller ledytor i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFF92"	"NFF"	"Annan operation på ledhinnor eller ledytor i höftled - öppen"	""	""	""	""	""	""
"NFG"	"NF"	"Excisioner, rekonstruktioner och artrodeser av höftleder"	""	""	""	"Operationer vid pseudartros"	"Ledprotes, se NFB och NFC"	"Tilläggskod vid artroskopiskt assisterad operation: ZXC85"
"NFG09"	"NFG"	"Excisionsartroplastik i höftled"	""	""	""	""	""	""
"NFG19"	"NFG"	"Interpositionsartroplastik i höftled"	""	""	""	""	""	""
"NFG29"	"NFG"	"Annan artroplastik i höftled utan protes"	""	""	""	""	""	""
"NFG39"	"NFG"	"Artrodes av höftled utan fixationsmaterial"	""	""	""	""	""	""
"NFG49"	"NFG"	"Artrodes av höftled med intern fixation"	""	""	""	""	""	""
"NFG59"	"NFG"	"Artrodes av höftled med extern fixation"	""	""	""	""	""	""
"NFG99"	"NFG"	"Annan excision, rekonstruktion eller artrodes av höftled"	""	""	""	""	""	""
"NFH"	"NF"	"Diverse operationer på höftleder"	""	""	""	"Reposition"	"Mobilisering av led, se NFT"	""
"NFH00"	"NFH"	"Reposition av höftled - perkutan eller sluten"	""	""	""	""	"Av dislokerad protes"	""
"NFH01"	"NFH"	"Reposition av höftled - artroskopisk eller endoskopisk"	""	""	""	""	"Av dislokerad protes"	""
"NFH02"	"NFH"	"Reposition av höftled - öppen"	""	""	""	""	"Av dislokerad protes"	""
"NFH20"	"NFH"	"Reposition av luxerad höftledsprotes - perkutan eller sluten"	""	""	""	""	""	""
"NFH21"	"NFH"	"Reposition av luxerad höftledsprotes - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFH22"	"NFH"	"Reposition av luxerad höftledsprotes - öppen"	""	""	""	""	""	""
"NFH30"	"NFH"	"Adherenslösning i höftled - perkutan eller sluten"	""	""	""	""	""	""
"NFH31"	"NFH"	"Adherenslösning i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFH32"	"NFH"	"Adherenslösning i höftled - öppen"	""	""	""	""	""	""
"NFH40"	"NFH"	"Extraktion av främmande eller fri kropp i höftled - perkutan eller sluten"	""	""	""	""	""	""
"NFH41"	"NFH"	"Extraktion av främmande eller fri kropp i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFH42"	"NFH"	"Extraktion av främmande eller fri kropp i höftled - öppen"	""	""	""	""	""	""
"NFH51"	"NFH"	"Excision av intraartikulär exostos eller osteofyt i höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFH52"	"NFH"	"Excision av intraartikulär exostos eller osteofyt i höftled - öppen"	""	""	""	""	""	""
"NFH70"	"NFH"	"Operation för recidiverande luxation av höftled - perkutan eller sluten"	""	""	""	""	""	""
"NFH71"	"NFH"	"Operation för recidiverande luxation av höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFH72"	"NFH"	"Operation för recidiverande luxation av höftled - öppen"	""	""	""	""	""	""
"NFH90"	"NFH"	"Annan operation på höftled - perkutan eller sluten"	""	""	""	""	""	""
"NFH91"	"NFH"	"Annan operation på höftled - artroskopisk eller endoskopisk"	""	""	""	""	""	""
"NFH92"	"NFH"	"Annan operation på höftled - öppen"	""	""	""	""	""	""
"NFJ"	"NF"	"Frakturkirurgi på femur"	""	""	""	"Operationer vid pseudartros"	"Extraktion av implantat, se NFU"	"Tilläggskod för bentransplantat, se NFN"
"NFJ"	""	""	""	""	""	""	"Immobilisering med gipsförband eller splint enbart, se TN"	"Tilläggskod vid artroskopiskt assisterad operation: ZXC85"
"NFJ09"	"NFJ"	"Sluten reposition av femurfraktur"	""	""	""	""	""	""
"NFJ19"	"NFJ"	"Öppen reposition av femurfraktur"	""	""	""	""	""	""
"NFJ29"	"NFJ"	"Extern fixation av femurfraktur"	""	""	""	""	""	""
"NFJ39"	"NFJ"	"Osteosyntes av femurfraktur med bioimplantat"	""	""	""	""	""	""
"NFJ49"	"NFJ"	"Osteosyntes av femurfraktur med cerklage, collumspik, stift eller dylikt"	""	""	""	""	""	""
"NFJ59"	"NFJ"	"Osteosyntes av femurfraktur med märgspik"	""	""	""	""	""	""
"NFJ69"	"NFJ"	"Osteosyntes av femurfraktur med platta och skruvar"	""	""	""	""	""	""
"NFJ79"	"NFJ"	"Osteosyntes av femurfraktur med skruvar enbart"	""	""	""	""	""	""
"NFJ89"	"NFJ"	"Osteosyntes av femurfraktur med annan eller kombinerad metod"	""	""	"T.ex. med användande av glidskruv"	""	""	""
"NFJ99"	"NFJ"	"Annan operation vid fraktur på femur"	""	""	""	""	""	""
"NFK"	"NF"	"Operationer på femur"	""	""	""	"Operationer vid pseudartros"	"Avlägsnande av främmande kropp, se NFT09"	"Tilläggskod för bentransplantat, se NFN"
"NFK"	""	""	""	""	""	""	"Komplexa korrektioner vid deformitet, se NFT"	""
"NFK"	""	""	""	""	""	""	"Operationer vid infektion, se NFS"	""
"NFK09"	"NFK"	"Excision av benfragment på femur"	""	""	""	"Sekvestrotomi"	""	""
"NFK19"	"NFK"	"Partiell eller total excision av ben i femur"	""	""	""	"Av exostos utanför led"	""	""
"NFK29"	"NFK"	"Fenestrering av femur"	""	""	""	""	""	""
"NFK39"	"NFK"	"Curettage av cysta i femur"	""	""	""	""	""	""
"NFK47"	"NFK"	"Total separation av epifysfogen i femur"	""	""	""	""	""	""
"NFK48"	"NFK"	"Partiell separation av epifysfogen i femur"	""	""	""	""	""	""
"NFK49"	"NFK"	"Epifyseodes av femur"	""	""	""	""	""	""
"NFK59"	"NFK"	"Vinklings-, rotations- eller förskjutningsosteotomi på femur"	""	""	""	""	""	""
"NFK69"	"NFK"	"Förkortnings- eller förlängningsosteotomi på femur"	""	""	""	""	""	""
"NFK79"	"NFK"	"Bentransportoperation på femur"	""	""	""	""	""	""
"NFK89"	"NFK"	"Epifysdistraktion på femur"	""	""	""	""	""	""
"NFK99"	"NFK"	"Annan operation på femur"	""	""	""	""	""	""
"NFL"	"NF"	"Operationer på muskler och senor i höfter och lår"	""	""	""	""	"Avlägsnande av främmande kropp, se NFT09"	""
"NFL09"	"NFL"	"Friläggning av muskel i höft eller lår"	""	""	""	""	""	""
"NFL19"	"NFL"	"Sutur eller rekonstruktion av muskel i höft eller lår"	""	""	""	""	""	""
"NFL29"	"NFL"	"Transposition av muskel i höft eller lår"	""	""	""	""	""	""
"NFL39"	"NFL"	"Myotomi eller tenotomi i höft eller lår"	""	""	""	""	""	""
"NFL49"	"NFL"	"Sutur eller reinsertion av sena i höft eller lår"	""	""	""	"Rekonstruktion av inguinalkanalens senstruktur vid Gilmores groin"	""	""
"NFL59"	"NFL"	"Tenolys eller tenosynovektomi i höft eller lår"	""	""	""	""	""	""
"NFL69"	"NFL"	"Tenodes, förkortning eller förlängning av sena i höft eller lår"	""	""	""	""	""	""
"NFL79"	"NFL"	"Excision av muskel eller sena i höft eller lår"	""	""	""	""	""	""
"NFL89"	"NFL"	"Transposition av sena i höft eller lår"	""	""	""	""	""	""
"NFL99"	"NFL"	"Annan operation på muskel eller sena i höft eller lår"	""	""	""	""	""	""
"NFM"	"NF"	"Operationer på fascior och bursor i höfter och lår"	""	""	""	""	"Avlägsnande av främmande kropp, se NFT09"	""
"NFM09"	"NFM"	"Fasciotomi i höft eller lår"	""	""	""	""	""	""
"NFM19"	"NFM"	"Partiell eller total excision av fascia i höft eller lår"	""	""	""	""	""	""
"NFM29"	"NFM"	"Sutur av fascia i höft eller lår"	""	""	""	""	""	""
"NFM39"	"NFM"	"Excision av ganglion i höft eller lår"	""	""	""	""	""	""
"NFM49"	"NFM"	"Klyvning av senskida i höft eller lår"	""	""	""	""	""	""
"NFM59"	"NFM"	"Partiell excision av senskida i höft eller lår"	""	""	""	""	""	""
"NFM79"	"NFM"	"Excision av bursa i höft eller lår"	""	""	""	""	""	""
"NFM99"	"NFM"	"Annan operation på fascia eller bursa i höft eller lår"	""	""	""	""	""	""
"NFN"	"NF"	"Transplantationer till höfter och lår"	""	""	""	""	""	"Tilläggskoder för specifikation av fritt transplantat av muskel, sena, fascia, periost, perikondrium eller brosk, fria mikrovaskulära transplantat och lambåer (inkl. ben-, muskel- och hudlambåer), se ZZ"
"NFN"	""	""	""	""	""	""	""	"Uttagning av vävnad för transplantation, se kapitel Y"
"NFN09"	"NFN"	"Autotransplantation av ben till femur"	""	""	""	""	""	""
"NFN19"	"NFN"	"Homotransplantation av ben till femur"	""	""	""	""	""	""
"NFN29"	"NFN"	"Heterotransplantation av ben till femur"	""	""	""	""	""	""
"NFN39"	"NFN"	"Transplantation av sena till höft eller lår"	""	""	""	""	""	"Fritt sentransplantat, se ZZB"
"NFN49"	"NFN"	"Transplantation av brosk, periost eller fascia till höft eller lår"	""	""	""	""	""	"Fritt transplantat, se ZZ"
"NFN99"	"NFN"	"Annan transplantation till höft eller lår"	""	""	""	""	""	""
"NFP"	"NF"	"Replantationer och autotransplantationer i höfter och lår"	""	""	""	""	""	""
"NFP29"	"NFP"	"Replantation av extremitet i höft- eller lårnivå"	""	""	""	""	""	""
"NFQ"	"NF"	"Amputationer och relaterade operationer på höfter och lår"	""	""	""	""	""	""
"NFQ09"	"NFQ"	"Exartikulation i höftled"	""	""	""	""	""	""
"NFQ19"	"NFQ"	"Transfemoral amputation"	""	""	""	""	""	""
"NFQ29"	"NFQ"	"Revision av exartikulations- eller amputationsstump i höft eller lår"	""	""	""	""	""	""
"NFQ39"	"NFQ"	"Implantation av benförankrat transkutant implantat i lårbenet"	""	""	""	""	""	""
"NFQ49"	"NFQ"	"Implantation på amputationsstump, i lårbenet"	""	""	""	""	""	""
"NFQ99"	"NFQ"	"Annan amputation eller relaterad operation på höft eller lår"	""	""	""	""	""	""
"NFR"	"NF"	"Operationer för tumör i höfter och lår"	""	""	""	""	""	""
"NFR09"	"NFR"	"Intralesionell excision av mjukdelstumör i höft eller lår"	""	""	""	""	""	""
"NFR19"	"NFR"	"Marginell excision av mjukdelstumör i höft eller lår"	""	""	""	""	""	""
"NFR29"	"NFR"	"Vid excision av mjukdelstumör i höft eller lår"	""	""	""	""	""	""
"NFR39"	"NFR"	"Kompartmentell excision av mjukdelstumör i höft eller lår"	""	""	""	""	""	""
"NFR49"	"NFR"	"Intralesionell excision av ben- eller brosktumör i höftled eller femur"	""	""	""	""	""	""
"NFR59"	"NFR"	"Marginell excision av ben- eller brosktumör i höftled eller femur"	""	""	""	""	""	""
"NFR69"	"NFR"	"Vid excision av ben- eller brosktumör i höftled eller femur"	""	""	""	""	""	""
"NFR79"	"NFR"	"Kompartmentell excision av ben- eller brosktumör i höftled eller femur"	""	""	""	""	""	""
"NFR89"	"NFR"	"Total excision av ben i höft eller lår med ledprotesoperation"	""	"Ledprotesoperation av femur (som ersätts i sin helhet) med proximala och distala ledytor"	""	""	""	""
"NFR99"	"NFR"	"Annan operation för tumör i höft eller lår"	""	""	""	""	""	""
"NFS"	"NF"	"Operationer vid infektion i höfter och lår"	""	""	""	"Dränage"	"Incision, dränage av subkutan abscess, se QDA"	""
"NFS"	""	""	""	""	""	""	"Sekvestrotomi, se NFK"	""
"NFS09"	"NFS"	"Incision och debridering vid mjukdelsinfektion i höft eller lår"	""	""	""	""	""	""
"NFS19"	"NFS"	"Incision och debridering vid septisk artrit i höftled"	""	""	""	""	""	""
"NFS29"	"NFS"	"Incision och debridering vid osteit i femur"	""	""	""	""	""	""
"NFS39"	"NFS"	"Incision och debridering vid mjukdelsinfektion i höft eller lår med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	""	""	""	""
"NFS49"	"NFS"	"Incision och debridering vid septisk artrit i höftled med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
"NFS59"	"NFS"	"Incision och debridering vid osteit i femur med implantation av läkemedel"	""	"Läkemedel kan anges genom tillägg av ATC-kod"	"T.ex. Gentamycinkulor"	""	""	""
"NFS99"	"NFS"	"Annan operation vid infektion i höft eller lår"	""	""	""	""	""	""
"NFT"	"NF"	"Diverse operationer på höfter och lår"	""	""	""	""	""	""
"NFT09"	"NFT"	"Avlägsnande av främmande kropp från vävnad i höft eller lår"	""	""	""	""	""	""
"NFT19"	"NFT"	"Mobilisering av höftled"	""	""	""	""	""	""
"NFT39"	"NFT"	"Korrektion av deformitet av höftled eller femur med användande av muskel, sena eller ligament"	""	""	""	""	""	""
"NFT49"	"NFT"	"Korrektion av deformitet av höftled eller femur med användande av extern eller intern fixation"	""	""	""	""	""	""
"NFT99"	"NFT"	"Annan operation på höft eller lår"	""	""	""	""	""	""
"NFU"	"NF"	"Extraktion av implantat och externt fixationsmaterial från höfter och lår"	""	""	""	""	""	""
"NFU09"	"NFU"	"Extraktion av del- eller halvprotes från höftled"	""	""	""	""	""	""
"NFU19"	"NFU"	"Extraktion av totalprotes från höftled"	""	""	""	""	""	""
"NFU39"	"NFU"	"Extraktion av externt fixationsmaterial från femur"	""	""	""	""	""	""
"NFU49"	"NFU"	"Extraktion av internt fixationsmaterial från femur"	""	""	""	""	""	""
"NFU89"	"NFU"	"Extraktion av implantat för infektionsbehandling från höft eller femur"	""	""	""	""	""	""
"NFU99"	"NFU"	"Extraktion av annat implantat från höftled eller femur"	""	""	""	""	""	""
"NFW"	"NF"	"Reoperationer på höfter eller lår"	""	""	""	""	"Extraktion av implantat, se NFU"	""
